,0,1,2
0,Intercept,5.3419***,5.195***
1,,(0.0424),(0.0)
2,Exclusive Static, , 
3,, , 
4,"Low Income, At Risk of Change",-1.5632***,-1.2831***
5,,(0.0179),(0.0)
6,"Low Income, Undergoing Change",-1.3552***,-1.1601***
7,,(0.013),(0.0)
8,T,-0.0012***,-0.0003***
9,,(0.0001),(0.0)
10,T * Exclusive Static, , 
11,, , 
12,"T * Low Income, At Risk of Change",0.0009***,0.0006***
13,,(0.0),(0.0)
14,"T * Low Income, Undergoing Change",0.0006***,0.0005***
15,,(0.0),(0.0)
16,Time aggregation Dummies,Yes,No
17,Number of obs.,11802.0,11802.0
18,Adj-R2,0.452,0.023
19,F-statistic:,10078.323,3.2954623465316018e+25
20,Prob (F-statistic),0.0,0.0
